sent_index,main_topic,main_prob,sentence
0,4,0.9756,坚持党对人民军队的绝对领导，落实新时代强军目标，持续深化国防和军队改革，一体化国家战略体系和能力加快构建，现代化水平和实战能力显著提升
1,3,0.6513,人民军队坚决履行新时代使命任务，以顽强斗争精神和实际行动捍卫国家主权、安全、发展利益
2,1,0.9712,提出新时代党解决台湾问题的总体方略，牢牢掌握两岸关系主导权和主动权
3,0,0.986,这些重大成就的取得，根本在于以习近平同志为核心的党中央领航掌舵，在于习近平新时代中国特色社会主义思想科学指引
4,2,0.4283,党中央决定对宪法进行适当修改，目的是在保持宪法连续性、稳定性、权威性的前提下，通过修改使我国宪法更好体现人民意志，更好体现中国特色社会主义制度的优势，更好适应提高中国共产党长期执政能力、推进全面依法治国、推进国家治理体系和治理能力现代化的要求，为新时代坚持和发展中国特色社会主义提供宪法保障
5,4,0.4342,文中指出：全面把握依法治军战略，总的是要贯彻新时代党的强军思想，贯彻新时代中国特色社会主义法治思想，着眼于全面加强我军革命化现代化正规化建设，构建中国特色军事法治体系，加快治军方式根本性转变，提高国防和军队建设法治化水平，为推进强军事业提供坚强法治保障
6,3,0.9782,《谱写新时代中国宪法实践新篇章》（2022年12月19日）这是习近平同志为纪念现行宪法公布施行四十周年发表的署名文章
7,0,0.4384,文中指出：在新时代坚持和发展中国特色社会主义的进程中，我们党总结运用历史经验，全面贯彻实施宪法，勇于推进宪法理论和宪法实践创新，积累了许多新鲜经验，深化了对我国宪法制度建设的规律性认识，这就是：必须坚持中国共产党领导；必须坚持人民当家作主；必须坚持依宪治国、依宪执政；必须坚持宪法的国家根本法地位；必须坚持宪法实施与监督制度化法规化；必须坚持维护宪法权威和尊严；必须坚持与时俱进完善和发展宪法
8,0,0.5017,《在庆祝全国人民代表大会成立七十周年大会上的讲话》（2024年9月14日）文中指出：党的十八大以来，我们党持续推进人民代表大会制度理论和实践创新，提出全过程人民民主的重大理念，形成了党关于坚持和完善人民代表大会制度的重要思想，为新时代推动人大工作高质量发展提供了根本遵循
9,4,0.6847,要围绕发展全过程人民民主，坚持好、完善好、运行好人民代表大会制度，充分发挥人大保证全面有效实施宪法法律的重要作用，充分发挥人大在立法工作中的主导作用，充分发挥人大监督在党和国家监督体系中的重要作用，充分发挥人大在密切同人民群众联系中的带头作用，为实现新时代新征程党和人民的奋斗目标提供坚实制度保障
10,0,0.5714,面对错综复杂的国际形势和艰巨繁重的国内改革发展稳定任务，在以习近平同志为核心的党中央坚强领导下，在习近平新时代中国特色社会主义思想特别是习近平法治思想科学指引下，我们解决了许多长期想解决而没有解决的法治难题，办成了许多过去想办而没有办成的法治大事，全面依法治国取得历史性成就、发生历史性变革，法治中国建设开创新局面
11,2,0.9767,在习近平法治思想指引下，党和国家各项事业纳入法治轨道，成为新时代全面依法治国的鲜明特征
12,2,0.7744,在习近平法治思想科学指引下，紧紧围绕建设中国特色社会主义法治体系这个总抓手，全面依法治国的各项工作高效组织、有序开展，法治工作质效大幅提升，谱写了新时代良法善治新篇章
13,1,0.4536,确立习近平新时代中国特色社会主义思想的指导地位，充实坚持和加强中国共产党全面领导的内容，完善宪法确立的国家根本任务、奋斗目标和国家领导体制，确立国家监察制度……宪法，国家的根本法，又迎来了一次完善和升华
14,4,0.9854,"”
2023年，中办国办印发《关于加强新时代法学教育和法学理论研究的意见》，明确了新时代法学教育和法学理论研究指导思想、工作原则、发展目标和重点任务"
15,4,0.6876,"一组数据勾勒出我国法治人才队伍建设的坚实足迹：政法系统实现习近平新时代中国特色社会主义思想培训全覆盖，法官、检察官具有法学专业本科以上学历的人员超过95%，律师人数达83万人、公证员1.5万人、仲裁员6.7万人，法学院校每年培养输送10万名法治专门人才……
扎实推进社会治安综合治理中心规范化建设，深入推进智慧法院和互联网司法创新发展，数字检察赋能高质效办案……依托大数据、人工智能等技术，法治领域全方位全场景科技应用加快推进，不断塑造法治发展新动能新优势"
16,4,0.5953,2012年12月，十八届中央政治局会议审议通过中央八项规定，这是党的十八大以后制定的第一部重要党内法规；2016年7月，中共中央印发《中国共产党问责条例》，使党的问责工作有了第一部基础性法规……新时代，管党治党全面实现有规可依、有章可循
17,1,0.9735,以国家安全法为统领，反恐怖主义法、网络安全法、生物安全法等一系列国家安全法律法规出台，不断筑牢新时代国家安全的法治保障
18,3,0.6453,富有东方智慧的新时代“枫桥经验”有了国际版，为推动构建人类命运共同体注入法治正能量
19,3,0.9046,习近平主席的复信充分彰显新时代中国坚持推动不同文明开放交流、包容互鉴，始终致力于为构建人类命运共同体夯实文明根基
20,3,0.951,文化交流热度持续上升，折射新时代中国开放包容的胸怀
21,3,0.9897,我高度重视中科关系发展，愿同阿扎利总统一道努力，以两国建交50周年为契机，赓续传统友谊，推动中非合作论坛北京峰会成果落实，不断丰富中科战略伙伴关系内涵，为构建新时代全天候中非命运共同体作出更大贡献
22,3,0.9897,我高度重视中科关系发展，愿同阿扎利总统一道努力，以两国建交50周年为契机，赓续传统友谊，推动中非合作论坛北京峰会成果落实，不断丰富中科战略伙伴关系内涵，为构建新时代全天候中非命运共同体作出更大贡献
23,4,0.9923,党的二十届四中全会通过的《中共中央关于制定国民经济和社会发展第十五个五年规划的建议》（以下简称《建议》），立足中国式现代化战略全局，对如期实现建军一百年奋斗目标、高质量推进国防和军队现代化作出新部署，充分彰显了以习近平同志为核心的党中央建设巩固国防和强大军队、不断开创新时代强军事业新局面的坚定意志和深谋远虑
